a,b,c,d,e,f,g,h,i,j,k
396,198,100,y,0,ON,0,OFF,0,signal,1
397,198.5,100,y,0,ON,0,OFF,0,signal,1
398,199,100,y,0,ON,0,OFF,0,signal,1
399,199.5,100,y,0,ON,0,OFF,0,signal,1
400,200,100,y,0,ON,0,OFF,0,signal,1
401,200.5,100,y,0,ON,0,OFF,0,signal,1
402,201,100,y,0,ON,0,OFF,0,signal,1
403,201.5,100,y,0,ON,0,OFF,0,signal,1
404,202,100,y,0,ON,0,OFF,0,signal,1
405,202.5,100,y,0,ON,0,OFF,0,signal,1
406,203,100,y,0,ON,0,OFF,0,signal,1
407,203.5,100,y,0,ON,0,OFF,0,signal,1
408,204,100,y,0,ON,0,OFF,0,signal,1
409,204.5,100,y,0,ON,0,OFF,0,signal,1
410,205,100,y,0,ON,0,OFF,0,signal,1
411,205.5,100,y,0,ON,0,OFF,0,signal,1
412,206,100,y,0,ON,0,OFF,0,signal,1
413,206.5,100,y,0,ON,0,OFF,0,signal,1
414,207,100,y,0,ON,0,OFF,0,signal,1
415,207.5,100,y,0,ON,0,OFF,0,signal,1
416,208,100,y,0,ON,0,OFF,0,signal,1
417,208.5,100,y,0,ON,0,OFF,0,signal,1
418,209,100,y,0,ON,0,OFF,0,signal,1
419,209.5,100,y,0,ON,0,OFF,0,signal,1
420,210,100,y,0,ON,0,OFF,0,signal,1
421,210.5,100,y,0,ON,0,OFF,0,signal,1
422,211,100,y,0,ON,0,OFF,0,signal,1
423,211.5,100,y,0,ON,0,OFF,0,signal,1
424,212,100,y,0,ON,0,OFF,0,signal,1
425,212.5,100,y,0,ON,0,OFF,0,signal,1
426,213,100,y,0,ON,0,OFF,0,signal,1
427,213.5,100,y,0,ON,0,OFF,0,signal,1
428,214,100,y,0,ON,0,OFF,0,signal,1
429,214.5,100,y,0,ON,0,OFF,0,signal,1
430,215,100,y,0,ON,0,OFF,0,signal,1
431,215.5,100,y,0,ON,0,OFF,0,signal,1
432,216,100,y,0,ON,0,OFF,0,signal,1
433,216.5,100,y,0,ON,0,OFF,0,signal,1
434,217,100,y,0,ON,0,OFF,0,signal,1
435,217.5,100,y,0,ON,0,OFF,0,signal,1
436,218,100,y,0,ON,0,OFF,0,signal,1
437,218.5,100,y,0,ON,0,OFF,0,signal,1
438,219,100,y,0,ON,0,OFF,0,signal,1
439,219.5,100,y,0,ON,0,OFF,0,signal,1
440,220,100,y,0,ON,0,OFF,0,signal,1
